REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2019,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),56267.43,N,N,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,56267.43
2015,Ammonia,764,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,764
2018,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),4784,N,Y,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,4784
2019,Copper,4260,N,N,N,0,1315 W LIBERTY AVE,PITTSBURGH,ALLEGHENY,PA,15226,3,4260
2017,Methanol,14625,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,14625
2017,Methyl methacrylate,680,N,Y,N,0,STATE RT 837 PO BOX 567,WEST ELIZABETH,ALLEGHENY,PA,15088,3,680
2017,Copper,47,N,N,N,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,47
2018,Diisocyanates,0.001,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,0.001
2016,Ethylbenzene,20,Y,Y,N,0,2620 NEVILLE ROAD,PITTSBURGH,ALLEGHENY,PA,15225,3,20
2020,Polycyclic aromatic compounds,0,Y,Y,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,0
2015,Certain glycol ethers,32,N,Y,N,0,999 AIRBRAKE AVE,WILMERDING,ALLEGHENY,PA,15148,3,32
2018,Cumene,180,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,180
2020,Chromium,141,N,Y,Y,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,141
2018,Lead compounds,0.25,N,Y,Y,0,4810 BUTTERMILK HOLLOW ROAD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,0.25
2020,Carbon disulfide,5461,N,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,5461
2017,Toluene,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2017,Toluene,2148,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,2148
2021,Polycyclic aromatic compounds,2154.79,Y,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,2154.79
2019,Nitric acid,12,N,N,N,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,12
2017,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,
2017,Polycyclic aromatic compounds,9,Y,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,9
2021,Ethylene,0,N,N,N,0,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,
2016,Ethylene glycol,161,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,161
2015,Phosphorus (yellow or white),0,N,Y,N,0,109 48TH ST,PITTSBURGH,ALLEGHENY,PA,15201,3,0
2021,Ethylbenzene,4059,Y,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,4059
2017,Manganese,0,N,Y,N,0,1001 E WATERFRONT DR,MUNHALL,ALLEGHENY,PA,15120,3,
2018,Cobalt,0,Y,Y,N,0,1001 ROBB HILL RD,OAKDALE,ALLEGHENY,PA,15071,3,
2015,Benzene,220,Y,Y,Y,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,220
